test,page,strategy,visitnumber,ttr,datafetch,databulkload,templateparse,latency,bandwidth,date
GID,Blog,Auto,12,2003,90,1194,84,1,1,2010-05-18 20:32:54.669981-04
GID,Blog,Auto,23,3764,87,2492,92,1,1,2010-05-18 20:33:34.393011-04
GID,Blog,Auto,24,2400,80,1403,91,1,1,2010-05-18 20:33:37.737046-04
GID,Blog,Auto,25,1909,48,1193,104,1,1,2010-05-18 20:33:40.656131-04
GID,Blog,Auto,2,1980,51,1250,95,1,1,2010-05-18 20:33:53.33044-04
GID,Blog,Auto,9,1820,48,1154,48,1,1,2010-05-18 20:34:14.413771-04
GID,Blog,Auto,10,1941,53,1179,92,1,1,2010-05-18 20:34:17.245393-04
GID,Blog,Auto,15,1913,49,1115,88,1,1,2010-05-18 20:34:31.052613-04
GID,Blog,Auto,23,2211,83,1260,91,1,1,2010-05-18 20:34:57.440065-04
GID,Blog,Auto,24,1945,48,1191,84,1,1,2010-05-18 20:35:00.368662-04
GID,Blog,Auto,1,1899,51,1192,98,1,1,2010-05-18 20:35:03.463973-04
GID,Blog,Auto,2,2087,54,1277,97,1,1,2010-05-18 20:35:06.541093-04
GID,Blog,Auto,3,2039,52,1241,99,1,1,2010-05-18 20:35:09.526895-04
GID,Blog,Auto,4,2020,51,1215,97,1,1,2010-05-18 20:35:12.55533-04
GID,Blog,Auto,5,1952,49,1194,93,1,1,2010-05-18 20:35:15.426659-04
GID,Blog,Auto,6,1848,51,1114,92,1,1,2010-05-18 20:35:18.246476-04
GID,Blog,Auto,7,2123,109,1311,98,1,1,2010-05-18 20:35:21.331627-04
GID,Blog,Auto,8,1979,51,1224,56,1,1,2010-05-18 20:35:24.2344-04
GID,Blog,Auto,9,2095,54,1277,98,1,1,2010-05-18 20:35:27.298239-04
GID,Blog,Auto,7,1924,49,1223,91,1,1,2010-05-18 20:32:40.154065-04
GID,Blog,Auto,13,1911,46,1143,84,1,1,2010-05-18 20:32:57.535693-04
GID,Blog,Auto,17,1896,48,1161,92,1,1,2010-05-18 20:33:08.631962-04
GID,Blog,Auto,19,1680,51,969,93,1,1,2010-05-18 20:33:13.868786-04
GID,Blog,Auto,21,4293,178,2651,89,1,1,2010-05-18 20:33:24.596465-04
GID,Blog,Auto,26,2081,48,1327,89,1,1,2010-05-18 20:33:43.642307-04
GID,Blog,Auto,1,2194,84,1235,92,1,1,2010-05-18 20:33:50.377906-04
GID,Blog,Auto,4,2164,49,1393,91,1,1,2010-05-18 20:33:59.510475-04
GID,Blog,Auto,7,2062,48,1292,89,1,1,2010-05-18 20:34:08.672025-04
GID,Blog,Auto,11,1934,50,1170,92,1,1,2010-05-18 20:34:20.189714-04
GID,Blog,Auto,14,1684,49,1005,84,1,1,2010-05-18 20:34:28.115492-04
GID,Blog,Auto,20,2160,48,1476,90,1,1,2010-05-18 20:34:47.978274-04
GID,Blog,Auto,22,2270,57,1443,95,1,1,2010-05-18 20:34:54.287392-04
GID,Blog,Auto,8,1953,47,1203,91,1,1,2010-05-18 20:32:43.04261-04
GID,Blog,Auto,9,1816,51,1093,100,1,1,2010-05-18 20:32:45.877369-04
GID,Blog,Auto,10,1873,50,1163,97,1,1,2010-05-18 20:32:48.652549-04
GID,Blog,Auto,16,1846,50,1095,92,1,1,2010-05-18 20:33:05.823125-04
GID,Blog,Auto,18,1667,49,980,91,1,1,2010-05-18 20:33:11.273329-04
GID,Blog,Auto,20,4488,173,3046,91,1,1,2010-05-18 20:33:19.4112-04
GID,Blog,Auto,3,2031,50,1283,95,1,1,2010-05-18 20:33:56.340379-04
GID,Blog,Auto,5,2222,53,1412,98,1,1,2010-05-18 20:34:02.663954-04
GID,Blog,Auto,6,2031,48,1266,88,1,1,2010-05-18 20:34:05.657267-04
GID,Blog,Auto,12,1696,49,1004,88,1,1,2010-05-18 20:34:22.85282-04
GID,Blog,Auto,16,1886,48,1146,89,1,1,2010-05-18 20:34:33.898276-04
