file,strategy,frequency,highest_rate,attempted_rate,avg_data
test_freq_0.008_per_update_synckit.txt,Sync Kit,0.008,219.600000,182,55436.000000
test_freq_0.008_per_update_synckit.txt,Sync Kit,0.008,237.300000,188,55654.000000
test_freq_0.008_per_update_tokyo.txt,Flying Templates,0.008,217.900000,169,58760.000000
test_freq_0.008_per_update_tokyo.txt,Flying Templates,0.008,234.500000,178,59030.000000
test_freq_0.008_per_update_tokyo.txt,Flying Templates,0.008,237.100000,176,59097.000000
test_freq_0.008_per_update_traditional.txt,Traditional,0.008,123.400000,126,166412.000000
test_freq_0.008_per_update_traditional.txt,Traditional,0.008,126.500000,128,164441.000000
test_freq_0.008_per_update_traditional.txt,Traditional,0.008,126.800000,128,163235.000000
test_freq_0.08_per_update_synckit.txt,Sync Kit,0.08,221.000000,221,36916.000000
test_freq_0.08_per_update_synckit.txt,Sync Kit,0.08,229.800000,221,36746.000000
test_freq_0.08_per_update_synckit.txt,Sync Kit,0.08,236.300000,214,39164.000000
test_freq_0.08_per_update_tokyo.txt,Flying Templates,0.08,183.300000,165,58549.000000
test_freq_0.08_per_update_tokyo.txt,Flying Templates,0.08,184.200000,165,59071.000000
test_freq_0.08_per_update_tokyo.txt,Flying Templates,0.08,184.400000,165,58397.000000
test_freq_0.08_per_update_traditional.txt,Traditional,0.08,130.500000,133,161976.000000
test_freq_0.08_per_update_traditional.txt,Traditional,0.08,130.900000,133,161181.000000
test_freq_0.08_per_update_traditional.txt,Traditional,0.08,131.400000,133,161004.000000
test_freq_0.16_per_update_synckit.txt,Sync Kit,0.16,289.000000,270,25949.000000
test_freq_0.16_per_update_synckit.txt,Sync Kit,0.16,295.100000,268,26536.000000
test_freq_0.16_per_update_synckit.txt,Sync Kit,0.16,301.900000,274,25064.000000
test_freq_0.16_per_update_tokyo.txt,Flying Templates,0.16,178.500000,165,58037.000000
test_freq_0.16_per_update_tokyo.txt,Flying Templates,0.16,179.100000,163,59177.000000
test_freq_0.16_per_update_tokyo.txt,Flying Templates,0.16,181.600000,165,57741.000000
test_freq_0.16_per_update_traditional.txt,Traditional,0.16,129.500000,131,161705.000000
test_freq_0.16_per_update_traditional.txt,Traditional,0.16,130.900000,133,160147.000000
test_freq_0.16_per_update_traditional.txt,Traditional,0.16,131.600000,133,160315.000000
test_freq_0.25_per_update_synckit.txt,Sync Kit,0.25,327.300000,306,21135.000000
test_freq_0.25_per_update_synckit.txt,Sync Kit,0.25,329.800000,308,20397.000000
test_freq_0.25_per_update_synckit.txt,Sync Kit,0.25,333.400000,310,20392.000000
test_freq_0.25_per_update_tokyo.txt,Flying Templates,0.25,173.700000,167,59606.000000
test_freq_0.25_per_update_tokyo.txt,Flying Templates,0.25,175.200000,161,60735.000000
test_freq_0.25_per_update_tokyo.txt,Flying Templates,0.25,176.800000,165,61282.000000
test_freq_0.25_per_update_traditional.txt,Traditional,0.25,124.200000,126,163307.000000
test_freq_0.25_per_update_traditional.txt,Traditional,0.25,124.700000,126,163980.000000
test_freq_0.25_per_update_traditional.txt,Traditional,0.25,124.800000,126,162078.000000
test_freq_0.33_per_update_synckit.txt,Sync Kit,0.33,336.100000,340,17918.000000
test_freq_0.33_per_update_synckit.txt,Sync Kit,0.33,372.300000,338,17451.000000
test_freq_0.33_per_update_synckit.txt,Sync Kit,0.33,373.500000,341,17176.000000
test_freq_0.33_per_update_tokyo.txt,Flying Templates,0.33,164.300000,161,64318.000000
test_freq_0.33_per_update_tokyo.txt,Flying Templates,0.33,166.500000,163,64482.000000
test_freq_0.33_per_update_tokyo.txt,Flying Templates,0.33,178.900000,163,62785.000000
test_freq_0.33_per_update_traditional.txt,Traditional,0.33,123.900000,126,165780.000000
test_freq_0.33_per_update_traditional.txt,Traditional,0.33,124.000000,126,167439.000000
test_freq_0.33_per_update_traditional.txt,Traditional,0.33,124.600000,126,167645.000000
test_freq_0.42_per_update_synckit.txt,Sync Kit,0.42,381.100000,364,14438.000000
test_freq_0.42_per_update_synckit.txt,Sync Kit,0.42,389.900000,364,15192.000000
test_freq_0.42_per_update_synckit.txt,Sync Kit,0.42,401.200000,370,14483.000000
test_freq_0.42_per_update_tokyo.txt,Flying Templates,0.42,164.900000,158,68936.000000
test_freq_0.42_per_update_tokyo.txt,Flying Templates,0.42,165.700000,156,69669.000000
test_freq_0.42_per_update_tokyo.txt,Flying Templates,0.42,172.100000,160,69342.000000
test_freq_0.42_per_update_traditional.txt,Traditional,0.42,118.100000,120,172254.000000
test_freq_0.42_per_update_traditional.txt,Traditional,0.42,118.600000,120,172630.000000
test_freq_0.42_per_update_traditional.txt,Traditional,0.42,97.000000,98,173284.000000
test_freq_0.5_per_update_synckit.txt,Sync Kit,0.5,405.600000,379,14693.000000
test_freq_0.5_per_update_synckit.txt,Sync Kit,0.5,406.300000,383,12447.000000
test_freq_0.5_per_update_synckit.txt,Sync Kit,0.5,413.000000,383,13682.000000
test_freq_0.5_per_update_tokyo.txt,Flying Templates,0.5,160.600000,152,71067.000000
test_freq_0.5_per_update_tokyo.txt,Flying Templates,0.5,164.100000,156,70846.000000
test_freq_0.5_per_update_tokyo.txt,Flying Templates,0.5,165.700000,156,70813.000000
test_freq_0.5_per_update_traditional.txt,Traditional,0.5,116.800000,118,174514.000000
test_freq_0.5_per_update_traditional.txt,Traditional,0.5,117.400000,120,174151.000000
test_freq_0.5_per_update_traditional.txt,Traditional,0.5,118.500000,120,174317.000000
test_freq_1_per_update_synckit.txt,Sync Kit,1,431.000000,411,10899.000000
test_freq_1_per_update_synckit.txt,Sync Kit,1,431.300000,411,10894.000000
test_freq_1_per_update_synckit.txt,Sync Kit,1,440.800000,407,12201.000000
test_freq_1_per_update_tokyo.txt,Flying Templates,1,163.900000,156,67849.000000
test_freq_1_per_update_tokyo.txt,Flying Templates,1,164.500000,156,67394.000000
test_freq_1_per_update_tokyo.txt,Flying Templates,1,167.200000,158,67380.000000
test_freq_1_per_update_traditional.txt,Traditional,1,118.900000,120,170852.000000
test_freq_1_per_update_traditional.txt,Traditional,1,119.500000,122,170973.000000
test_freq_1_per_update_traditional.txt,Traditional,1,120.800000,122,170535.000000
test_freq_2_per_update_synckit.txt,Sync Kit,2,447.100000,433,8779.000000
test_freq_2_per_update_synckit.txt,Sync Kit,2,461.400000,428,8684.000000
test_freq_2_per_update_synckit.txt,Sync Kit,2,468.900000,431,9392.000000
test_freq_2_per_update_tokyo.txt,Flying Templates,2,160.800000,154,70884.000000
test_freq_2_per_update_tokyo.txt,Flying Templates,2,163.800000,156,70946.000000
test_freq_2_per_update_tokyo.txt,Flying Templates,2,164.500000,154,70880.000000
test_freq_2_per_update_traditional.txt,Traditional,2,116.800000,118,174261.000000
test_freq_2_per_update_traditional.txt,Traditional,2,118.100000,120,174529.000000
test_freq_2_per_update_traditional.txt,Traditional,2,119.700000,122,174230.000000
test_freq_3_per_update_synckit.txt,Sync Kit,3,460.700000,441,9906.000000
test_freq_3_per_update_synckit.txt,Sync Kit,3,463.000000,446,8419.000000
test_freq_3_per_update_synckit.txt,Sync Kit,3,474.600000,452,10491.000000
test_freq_3_per_update_tokyo.txt,Flying Templates,3,156.300000,154,73329.000000
test_freq_3_per_update_tokyo.txt,Flying Templates,3,160.300000,152,72930.000000
test_freq_3_per_update_tokyo.txt,Flying Templates,3,163.400000,150,72514.000000
test_freq_3_per_update_traditional.txt,Traditional,3,113.800000,115,177094.000000
test_freq_3_per_update_traditional.txt,Traditional,3,116.400000,118,176896.000000
test_freq_3_per_update_traditional.txt,Traditional,3,116.800000,118,176407.000000
test_freq_4_per_update_synckit.txt,Sync Kit,4,454.700000,435,10045.000000
test_freq_4_per_update_synckit.txt,Sync Kit,4,458.100000,445,9678.000000
