test,page,strategy,visitnumber,ttr,datafetch,databulkload,templateparse,latency,bandwidth,date
Feb 2,Blog,Sync Kit,1,377,232,16,15,1,1,2010-02-01 21:03:34.337516-05
Feb 2,Blog,Sync Kit,2,185,75,15,13,1,1,2010-02-01 21:03:35.439829-05
Feb 2,Blog,Sync Kit,3,223,109,16,14,1,1,2010-02-01 21:03:36.571434-05
Feb 2,Blog,Sync Kit,4,212,101,15,13,1,1,2010-02-01 21:03:37.640275-05
Feb 2,Blog,Sync Kit,5,224,110,15,14,1,1,2010-02-01 21:03:38.753475-05
Feb 2,Blog,Sync Kit,1,257,143,16,15,1,1,2010-02-01 21:03:39.905933-05
Feb 2,Blog,Sync Kit,2,256,141,16,15,1,1,2010-02-01 21:03:41.055717-05
Feb 2,Blog,Sync Kit,3,278,167,15,13,1,1,2010-02-01 21:03:42.194028-05
Feb 2,Blog,Sync Kit,4,232,117,15,15,1,1,2010-02-01 21:03:43.283445-05
Feb 2,Blog,Sync Kit,5,217,102,16,13,1,1,2010-02-01 21:03:44.36192-05
Feb 2,Blog,Sync Kit,6,241,126,16,14,1,1,2010-02-01 21:03:45.465876-05
Feb 2,Blog,Sync Kit,1,258,143,16,16,1,1,2010-02-01 21:03:46.596102-05
Feb 2,Blog,Sync Kit,2,262,144,16,15,1,1,2010-02-01 21:03:47.719119-05
Feb 2,Blog,Sync Kit,3,186,74,15,13,1,1,2010-02-01 21:03:48.809521-05
Feb 2,Blog,Sync Kit,4,233,118,15,14,1,1,2010-02-01 21:03:49.898039-05
Feb 2,Blog,Sync Kit,5,211,99,15,13,1,1,2010-02-01 21:03:50.965565-05
Feb 2,Blog,Sync Kit,6,244,129,16,14,1,1,2010-02-01 21:03:52.060846-05
Feb 2,Blog,Sync Kit,1,258,143,16,15,1,1,2010-02-01 21:03:53.17383-05
Feb 2,Blog,Sync Kit,2,257,141,16,14,1,1,2010-02-01 21:03:54.289467-05
Feb 2,Blog,Sync Kit,3,184,72,15,12,1,1,2010-02-01 21:03:55.333102-05
Feb 2,Blog,Sync Kit,4,225,113,15,14,1,1,2010-02-01 21:03:56.416909-05
Feb 2,Blog,Sync Kit,5,199,88,14,14,1,1,2010-02-01 21:03:57.470151-05
Feb 2,Blog,Sync Kit,1,253,139,16,15,1,1,2010-02-01 21:03:58.58045-05
Feb 2,Blog,Sync Kit,2,260,145,16,15,1,1,2010-02-01 21:03:59.696589-05
Feb 2,Blog,Sync Kit,3,227,115,15,13,1,1,2010-02-01 21:04:00.783438-05
Feb 2,Blog,Sync Kit,4,226,113,16,14,1,1,2010-02-01 21:04:01.893525-05
Feb 2,Blog,Sync Kit,5,212,100,14,14,1,1,2010-02-01 21:04:02.999497-05
Feb 2,Blog,Sync Kit,6,238,125,16,14,1,1,2010-02-01 21:04:04.124786-05
Feb 2,Blog,Sync Kit,1,258,142,16,15,1,1,2010-02-01 21:04:05.276698-05
Feb 2,Blog,Sync Kit,2,232,117,15,13,1,1,2010-02-01 21:04:06.423873-05
Feb 2,Blog,Sync Kit,3,226,113,15,14,1,1,2010-02-01 21:04:07.509393-05
Feb 2,Blog,Sync Kit,4,228,113,15,13,1,1,2010-02-01 21:04:08.59213-05
Feb 2,Blog,Sync Kit,5,217,102,15,14,1,1,2010-02-01 21:04:09.665849-05
Feb 2,Blog,Sync Kit,1,256,139,17,17,1,1,2010-02-01 21:04:10.796394-05
Feb 2,Blog,Sync Kit,2,260,143,15,14,1,1,2010-02-01 21:04:11.946406-05
Feb 2,Blog,Sync Kit,3,198,85,15,13,1,1,2010-02-01 21:04:13.002807-05
Feb 2,Blog,Sync Kit,4,225,111,16,14,1,1,2010-02-01 21:04:14.079078-05
Feb 2,Blog,Sync Kit,5,214,102,15,13,1,1,2010-02-01 21:04:15.148788-05
Feb 2,Blog,Sync Kit,6,253,139,16,15,1,1,2010-02-01 21:04:16.259352-05
Feb 2,Blog,Sync Kit,1,259,144,16,15,1,1,2010-02-01 21:04:17.397054-05
Feb 2,Blog,Sync Kit,2,260,143,16,14,1,1,2010-02-01 21:04:18.519382-05
Feb 2,Blog,Sync Kit,3,199,85,14,13,1,1,2010-02-01 21:04:19.576373-05
Feb 2,Blog,Sync Kit,4,225,112,16,14,1,1,2010-02-01 21:04:20.654669-05
Feb 2,Blog,Sync Kit,5,214,102,15,13,1,1,2010-02-01 21:04:21.728228-05
Feb 2,Blog,Sync Kit,6,240,126,16,14,1,1,2010-02-01 21:04:22.824744-05
Feb 2,Blog,Sync Kit,1,260,142,17,14,1,1,2010-02-01 21:04:23.94246-05
Feb 2,Blog,Sync Kit,2,262,144,16,15,1,1,2010-02-01 21:04:25.066627-05
Feb 2,Blog,Sync Kit,3,201,87,15,13,1,1,2010-02-01 21:04:26.12597-05
Feb 2,Blog,Sync Kit,4,225,112,16,14,1,1,2010-02-01 21:04:27.209462-05
Feb 2,Blog,Sync Kit,5,228,115,15,14,1,1,2010-02-01 21:04:28.294047-05
Feb 2,Blog,Sync Kit,6,242,127,15,14,1,1,2010-02-01 21:04:29.389736-05
Feb 2,Blog,Sync Kit,1,252,131,15,14,1,1,2010-02-01 21:04:30.506965-05
Feb 2,Blog,Sync Kit,2,226,113,15,13,1,1,2010-02-01 21:04:31.63598-05
Feb 2,Blog,Sync Kit,3,223,111,15,14,1,1,2010-02-01 21:04:32.745649-05
Feb 2,Blog,Sync Kit,4,212,100,15,13,1,1,2010-02-01 21:04:33.858281-05
Feb 2,Blog,Sync Kit,5,226,115,15,14,1,1,2010-02-01 21:04:34.958787-05
Feb 2,Blog,Sync Kit,1,257,142,16,15,1,1,2010-02-01 21:04:36.115959-05
Feb 2,Blog,Sync Kit,2,258,144,16,15,1,1,2010-02-01 21:04:37.232685-05
Feb 2,Blog,Sync Kit,3,186,74,15,13,1,1,2010-02-01 21:04:38.276683-05
Feb 2,Blog,Sync Kit,4,226,114,15,14,1,1,2010-02-01 21:04:39.355264-05
Feb 2,Blog,Sync Kit,5,218,104,14,14,1,1,2010-02-01 21:04:40.429234-05
Feb 2,Blog,Sync Kit,6,240,127,15,14,1,1,2010-02-01 21:04:41.541392-05
Feb 2,Blog,Sync Kit,1,243,127,16,14,1,1,2010-02-01 21:04:42.67889-05
Feb 2,Blog,Sync Kit,2,261,145,16,15,1,1,2010-02-01 21:04:43.812502-05
Feb 2,Blog,Sync Kit,3,199,86,15,13,1,1,2010-02-01 21:04:44.872593-05
Feb 2,Blog,Sync Kit,4,223,112,15,14,1,1,2010-02-01 21:04:45.946233-05
Feb 2,Blog,Sync Kit,5,228,114,16,14,1,1,2010-02-01 21:04:47.029431-05
Feb 2,Blog,Sync Kit,1,257,143,16,14,1,1,2010-02-01 21:04:48.14822-05
Feb 2,Blog,Sync Kit,2,219,101,15,15,1,1,2010-02-01 21:04:49.22853-05
Feb 2,Blog,Sync Kit,3,237,115,15,14,1,1,2010-02-01 21:04:50.320361-05
Feb 2,Blog,Sync Kit,4,211,99,15,13,1,1,2010-02-01 21:04:51.386024-05
Feb 2,Blog,Sync Kit,5,225,112,15,14,1,1,2010-02-01 21:04:52.459549-05
Feb 2,Blog,Sync Kit,1,257,144,15,15,1,1,2010-02-01 21:04:53.587923-05
Feb 2,Blog,Sync Kit,2,258,142,15,15,1,1,2010-02-01 21:04:54.713766-05
Feb 2,Blog,Sync Kit,3,198,84,15,14,1,1,2010-02-01 21:04:55.769357-05
Feb 2,Blog,Sync Kit,4,223,111,15,14,1,1,2010-02-01 21:04:56.844238-05
Feb 2,Blog,Sync Kit,5,231,117,16,14,1,1,2010-02-01 21:04:57.934376-05
Feb 2,Blog,Sync Kit,1,254,143,15,15,1,1,2010-02-01 21:04:59.046582-05
Feb 2,Blog,Sync Kit,2,259,143,16,14,1,1,2010-02-01 21:05:00.164525-05
Feb 2,Blog,Sync Kit,3,200,87,15,13,1,1,2010-02-01 21:05:01.224657-05
Feb 2,Blog,Sync Kit,4,224,111,15,14,1,1,2010-02-01 21:05:02.328735-05
Feb 2,Blog,Sync Kit,5,229,114,15,13,1,1,2010-02-01 21:05:03.442626-05
Feb 2,Blog,Sync Kit,1,257,141,16,16,1,1,2010-02-01 21:05:04.591782-05
Feb 2,Blog,Sync Kit,2,257,140,16,14,1,1,2010-02-01 21:05:05.746181-05
Feb 2,Blog,Sync Kit,3,199,86,15,14,1,1,2010-02-01 21:05:06.834493-05
Feb 2,Blog,Sync Kit,4,225,112,15,15,1,1,2010-02-01 21:05:07.921904-05
Feb 2,Blog,Sync Kit,5,213,100,15,14,1,1,2010-02-01 21:05:08.993195-05
Feb 2,Blog,Sync Kit,6,238,127,14,15,1,1,2010-02-01 21:05:10.098299-05
