file,rate,total_requests,concurrent_connections,request_rate,reply_rate_avg,reply_rate_stdev,reply_samples,total_size,200_statuses,net_io
gzip-500k,5020,6156,9854,32.2,19.6,34.8,38,385344.0,3716,7325.5 KB/s
gzip-500k,2529,6766,9654,35.1,23.4,38.7,38,385344.0,4447,8677.1 KB/s
gzip-500k,1284,7005,9266,35.6,29.4,43.0,39,385344.0,5732,10966.2 KB/s
gzip-500k,661,7740,8550,37.9,36.8,46.2,40,385344.0,7357,13568.0 KB/s
gzip-500k,350,9950,7233,48.4,47.9,47.3,41,385344.0,9824,17984.8 KB/s
gzip-500k,194,10000,4959,77.5,77.1,31.5,25,385344.0,9657,28163.0 KB/s
gzip-500k,116,10000,1549,67.5,69.0,42.3,29,385344.0,10000,25396.6 KB/s
gzip-500k,77,10000,33,77.0,77.0,0.5,25,385344.0,10000,28978.4 KB/s
gzip-500k,96,10000,58,95.9,95.9,3.5,20,385344.0,10000,36100.7 KB/s
gzip-500k,106,10000,881,69.3,71.4,41.6,28,385344.0,10000,26098.6 KB/s
gzip-500k,101,10000,435,81.4,83.2,32.5,24,385344.0,10000,30642.1 KB/s
gzip-500k,98,10000,40,97.8,97.9,2.4,20,385344.0,10000,36831.7 KB/s
gzip-500k,99,10000,83,98.4,98.2,2.5,20,385344.0,10000,37030.2 KB/s
static-100k,5020,10000,3385,1996.3,1996.3,0.0,1,43592.0,4227,85220.2 KB/s
static-100k,2529,10000,2932,926.4,999.6,1175.4,2,63876.0,6210,57897.7 KB/s
static-100k,1284,10000,1223,743.0,998.5,68.9,2,97816.0,9528,71059.3 KB/s
static-100k,661,10000,20,660.5,660.3,0.8,3,102645.0,10000,66282.0 KB/s
static-100k,972,10000,62,971.3,971.1,1.7,2,102645.0,10000,97480.3 KB/s
static-100k,1128,10000,99,1126.9,1122.9,0.0,1,102645.0,10000,113096.0 KB/s
static-100k,1206,10000,966,884.9,996.9,131.2,2,102645.0,10000,88806.3 KB/s
static-100k,1167,10000,481,1133.4,1112.2,0.0,1,102645.0,10000,113746.8 KB/s
static-100k,1147,10000,228,1131.8,1114.1,0.0,1,102645.0,10000,113581.6 KB/s
static-100k,1157,10000,375,1131.4,1106.4,0.0,1,102645.0,10000,113540.1 KB/s
static-100k,1152,10000,273,1133.6,1115.9,0.0,1,102645.0,10000,113759.2 KB/s
static-100k,1154,2575,176,297.1,515.0,0.0,1,102645.0,2575,29820.3 KB/s
gzip-100k,5020,10000,9114,106.7,94.3,173.4,18,77295.0,8598,6936.4 KB/s
gzip-100k,2529,10000,8124,216.6,202.1,234.5,9,77295.0,9306,15240.1 KB/s
gzip-100k,1284,10000,6012,376.1,380.2,193.7,5,77295.0,9637,27400.2 KB/s
gzip-100k,661,10000,2128,368.0,395.2,203.0,5,77295.0,10000,27820.4 KB/s
gzip-100k,350,10000,50,349.9,349.7,1.0,5,77295.0,10000,26450.1 KB/s
gzip-100k,505,10000,136,504.7,503.9,2.4,3,77295.0,10000,38153.9 KB/s
gzip-100k,583,10000,1110,343.3,398.3,203.6,5,77295.0,10000,25951.6 KB/s
gzip-100k,544,10000,305,348.7,400.0,219.9,5,77295.0,10000,26362.9 KB/s
gzip-100k,524,10000,196,522.3,520.5,22.3,3,77295.0,10000,39480.9 KB/s
gzip-100k,534,10000,252,329.0,333.3,254.8,6,77295.0,10000,24869.4 KB/s
gzip-100k,529,10000,69,528.3,527.1,5.8,3,77295.0,10000,39940.6 KB/s
gzip-100k,531,10000,209,363.8,400.0,225.8,5,77295.0,10000,27498.8 KB/s
static-500k,5020,10000,4974,615.1,666.0,748.3,3,122184.0,2380,73461.4 KB/s
static-500k,2529,10000,1581,1035.0,1784.3,0.0,1,89986.0,1751,91072.2 KB/s
static-500k,1284,10000,2489,603.9,665.9,273.2,3,156019.0,3041,92088.1 KB/s
static-500k,661,10000,2097,418.2,468.4,133.7,4,240635.0,4694,98325.1 KB/s
static-500k,350,10000,2121,254.0,285.6,49.8,7,386882.0,7551,96010.7 KB/s
static-500k,194,10000,8,193.9,193.9,0.3,10,512245.0,10000,97033.8 KB/s
static-500k,272,10000,2116,230.1,223.2,41.4,8,485370.0,9475,109072.7 KB/s
static-500k,233,10000,351,228.3,224.9,0.4,8,512245.0,10000,114253.1 KB/s
static-500k,213,10000,7,212.9,212.9,0.4,9,512245.0,10000,106532.5 KB/s
static-500k,223,10000,8,222.9,222.8,0.5,8,512245.0,10000,111525.9 KB/s
static-500k,228,10000,11,227.9,227.8,0.6,8,512245.0,10000,114032.7 KB/s
static-500k,230,10000,128,228.4,227.1,0.4,8,512245.0,10000,114269.4 KB/s
static-500k,231,10000,206,228.4,226.3,0.4,8,512245.0,10000,114258.8 KB/s
gzip-static-100k,5020,10000,3199,1915.1,1999.8,0.0,1,37492.0,4831,70352.0 KB/s
gzip-static-100k,2529,10000,1491,1440.7,1969.0,0.0,1,52497.0,6783,74038.4 KB/s
gzip-static-100k,1284,10000,40,1009.4,1280.5,0.0,1,77228.0,10000,76249.1 KB/s
gzip-static-100k,661,10000,19,661.0,660.9,0.1,3,77228.0,10000,49928.9 KB/s
gzip-static-100k,972,10000,37,971.7,971.5,0.5,2,77228.0,10000,73401.5 KB/s
gzip-static-100k,1128,10000,54,1127.7,1127.3,0.0,1,77228.0,10000,85184.1 KB/s
gzip-static-100k,1206,10000,74,1205.3,1204.9,0.0,1,77228.0,10000,91050.1 KB/s
gzip-static-100k,1245,10000,24,1244.5,1243.8,0.0,1,77228.0,10000,94012.8 KB/s
gzip-static-100k,1264,10000,36,1263.6,1263.0,0.0,1,77228.0,10000,95450.0 KB/s
gzip-static-100k,1274,4721,72,601.6,944.2,0.0,1,77228.0,4721,45441.3 KB/s
gzip-static-100k,1269,9968,48,1262.3,1267.9,0.0,1,77228.0,9968,95355.5 KB/s
gzip-static-100k,1271,0,1,0.0,0.0,0.0,1,0.0,0,0.0 KB/s
gzip-static-200k,5020,10000,2241,1987.0,1987.3,0.0,1,44017.0,2839,85654.3 KB/s
gzip-static-200k,2529,10000,1467,1442.2,1972.4,0.0,1,57874.0,3740,81686.3 KB/s
gzip-static-200k,1284,10000,1872,748.9,994.3,104.9,2,106443.0,6898,77944.1 KB/s
gzip-static-200k,661,10000,21,660.1,660.0,2.0,3,154152.0,10000,99458.2 KB/s
gzip-static-200k,972,10000,1556,694.3,825.0,119.3,2,134265.0,8707,91114.7 KB/s
gzip-static-200k,816,10000,1278,660.2,666.6,84.7,3,154152.0,10000,99473.0 KB/s
gzip-static-200k,738,10000,40,737.5,737.0,1.8,2,154152.0,10000,111105.7 KB/s
gzip-static-200k,777,10000,457,756.5,741.2,4.0,2,154152.0,10000,113968.2 KB/s
gzip-static-200k,757,10000,27,756.1,754.6,0.6,2,154152.0,10000,113918.3 KB/s
gzip-static-200k,767,10000,249,756.0,747.3,3.0,2,154152.0,10000,113903.5 KB/s
gzip-static-200k,772,10000,332,757.1,746.2,2.6,2,154152.0,10000,114068.7 KB/s
gzip-static-200k,774,10000,383,756.8,744.5,3.4,2,154152.0,10000,114023.1 KB/s
gzip-200k,5020,9331,9601,48.9,35.1,76.0,38,154298.0,6668,5266.4 KB/s
gzip-200k,2529,9859,9147,51.7,40.3,81.8,38,154298.0,7659,6059.1 KB/s
gzip-200k,1284,10000,8076,104.7,98.4,117.1,19,154298.0,9403,14851.2 KB/s
gzip-200k,661,10000,6231,176.8,177.7,104.9,11,154298.0,9778,26069.0 KB/s
gzip-200k,350,10000,2749,178.6,181.0,105.9,11,154298.0,10000,26934.7 KB/s
gzip-200k,194,10000,53,193.5,193.3,3.5,10,154298.0,10000,29181.8 KB/s
gzip-200k,272,10000,712,164.6,166.6,118.9,12,154298.0,10000,24828.3 KB/s
gzip-200k,233,10000,73,232.3,232.9,1.3,8,154298.0,10000,35034.1 KB/s
gzip-200k,252,10000,107,251.9,251.8,7.8,7,154298.0,10000,37986.3 KB/s
gzip-200k,262,10000,356,165.1,166.7,120.3,12,154298.0,10000,24898.4 KB/s
gzip-200k,257,10000,150,253.5,253.0,4.9,7,154298.0,10000,38228.8 KB/s
gzip-200k,259,10000,254,224.2,248.5,12.7,8,154298.0,10000,33801.8 KB/s
gzip-static-500k,5020,10000,4760,718.6,991.3,739.7,2,107931.0,2797,75834.3 KB/s
gzip-static-500k,2529,10000,2740,773.2,997.5,749.6,2,115201.0,2986,87076.5 KB/s
gzip-static-500k,1284,10000,2453,601.5,666.4,322.6,3,139162.0,3609,81820.6 KB/s
gzip-static-500k,661,10000,1690,485.2,500.0,175.6,4,208470.0,5411,98837.8 KB/s
gzip-static-500k,350,10000,2081,307.0,278.4,16.0,6,374317.0,9723,112248.4 KB/s
gzip-static-500k,194,10000,7,194.0,194.0,0.2,10,384972.0,10000,72941.7 KB/s
gzip-static-500k,272,10000,7,271.9,271.9,0.3,7,384972.0,10000,102252.9 KB/s
gzip-static-500k,311,10000,403,303.8,298.5,0.4,6,384972.0,10000,114255.7 KB/s
gzip-static-500k,291,10000,13,290.9,290.9,0.4,6,384972.0,10000,109398.9 KB/s
gzip-static-500k,301,10000,10,300.9,300.8,0.4,6,384972.0,10000,113145.4 KB/s
gzip-static-500k,306,10000,131,303.8,302.1,0.7,6,384972.0,10000,114240.4 KB/s
gzip-static-500k,308,10000,241,303.8,300.7,0.7,6,384972.0,10000,114256.4 KB/s
