test,page,strategy,visitnumber,ttr,datafetch,databulkload,templateparse,latency,bandwidth,date
Test,Blog,Traditional,22,285,0,0,0,1,1,2010-02-10 11:32:59.976784-05
Test,Blog,Traditional,23,433,0,0,0,1,1,2010-02-10 11:33:01.264578-05
Test,Blog,Traditional,24,284,0,0,0,1,1,2010-02-10 11:33:02.400526-05
Test,Blog,Traditional,25,398,0,0,0,1,1,2010-02-10 11:33:03.653382-05
Test,Blog,Traditional,2,298,0,0,0,1,1,2010-02-10 11:33:07.108202-05
Test,Blog,Traditional,3,386,0,0,0,1,1,2010-02-10 11:33:08.34083-05
Test,Blog,Traditional,5,374,0,0,0,1,1,2010-02-10 11:33:10.740536-05
Test,Blog,Traditional,6,256,0,0,0,1,1,2010-02-10 11:33:11.841496-05
Test,Blog,Traditional,7,357,0,0,0,1,1,2010-02-10 11:33:13.0514-05
Test,Blog,Traditional,9,375,0,0,0,1,1,2010-02-10 11:33:15.37347-05
Test,Blog,Traditional,10,366,0,0,0,1,1,2010-02-10 11:33:16.595464-05
Test,Blog,Traditional,12,358,0,0,0,1,1,2010-02-10 11:33:18.995428-05
Test,Blog,Traditional,13,390,0,0,0,1,1,2010-02-10 11:33:20.228053-05
Test,Blog,Traditional,14,431,0,0,0,1,1,2010-02-10 11:33:21.506286-05
Test,Blog,Traditional,16,341,0,0,0,1,1,2010-02-10 11:33:23.905301-05
Test,Blog,Traditional,4,281,0,0,0,1,1,2010-02-10 11:32:09.761476-05
Test,Blog,Traditional,5,406,0,0,0,1,1,2010-02-10 11:32:11.016507-05
Test,Blog,Traditional,7,326,0,0,0,1,1,2010-02-10 11:32:13.326653-05
Test,Blog,Traditional,9,387,0,0,0,1,1,2010-02-10 11:32:15.726748-05
Test,Blog,Traditional,10,404,0,0,0,1,1,2010-02-10 11:32:16.971153-05
Test,Blog,Traditional,11,436,0,0,0,1,1,2010-02-10 11:32:18.248841-05
Test,Blog,Traditional,15,374,0,0,0,1,1,2010-02-10 11:32:23.003181-05
Test,Blog,Traditional,18,344,0,0,0,1,1,2010-02-10 11:32:26.514867-05
Test,Blog,Traditional,19,355,0,0,0,1,1,2010-02-10 11:32:27.724957-05
Test,Blog,Traditional,20,278,0,0,0,1,1,2010-02-10 11:32:28.847827-05
Test,Blog,Traditional,21,409,0,0,0,1,1,2010-02-10 11:32:30.113289-05
Test,Blog,Traditional,1,435,0,0,0,1,1,2010-02-10 11:32:34.879709-05
Test,Blog,Traditional,2,307,0,0,0,1,1,2010-02-10 11:32:36.012353-05
Test,Blog,Traditional,3,360,0,0,0,1,1,2010-02-10 11:32:37.212182-05
Test,Blog,Traditional,5,370,0,0,0,1,1,2010-02-10 11:32:39.700433-05
Test,Blog,Traditional,6,285,0,0,0,1,1,2010-02-10 11:32:40.81221-05
Test,Blog,Traditional,7,431,0,0,0,1,1,2010-02-10 11:32:42.089484-05
Test,Blog,Traditional,8,376,0,0,0,1,1,2010-02-10 11:32:43.311319-05
Test,Blog,Traditional,9,384,0,0,0,1,1,2010-02-10 11:32:44.53353-05
Test,Blog,Traditional,10,334,0,0,0,1,1,2010-02-10 11:32:45.700517-05
Test,Blog,Traditional,11,373,0,0,0,1,1,2010-02-10 11:32:46.921869-05
