test,page,strategy,visitnumber,ttr,datafetch,databulkload,templateparse,latency,bandwidth,date
Test,Wiki,Sync Kit,1,3117,108,75,22,1,1,2010-02-10 17:27:50.892268-05
Test,Wiki,Sync Kit,2,339,24,1,12,1,1,2010-02-10 17:27:56.137422-05
Test,Wiki,Sync Kit,2,322,31,2,19,1,1,2010-02-10 17:27:58.733044-05
Test,Wiki,Sync Kit,9,287,0,0,11,1,1,2010-02-10 17:28:13.350612-05
Test,Wiki,Sync Kit,13,301,20,1,12,1,1,2010-02-10 17:28:24.951346-05
Test,Wiki,Sync Kit,2,440,78,2,11,1,1,2010-02-10 17:27:53.659344-05
Test,Wiki,Sync Kit,6,329,32,2,11,1,1,2010-02-10 17:28:08.50071-05
Test,Wiki,Sync Kit,11,312,23,2,11,1,1,2010-02-10 17:28:17.976046-05
Test,Wiki,Sync Kit,13,324,0,0,11,1,1,2010-02-10 17:28:21.544567-05
Test,Wiki,Sync Kit,14,291,0,0,11,1,1,2010-02-10 17:28:26.102372-05
Test,Wiki,Sync Kit,15,319,21,1,12,1,1,2010-02-10 17:28:28.429094-05
Test,Wiki,Sync Kit,15,377,21,1,11,1,1,2010-02-10 17:28:29.760928-05
Test,Wiki,Sync Kit,7,307,0,0,11,1,1,2010-02-10 17:28:59.709333-05
Test,Wiki,Sync Kit,1,374,89,1,11,1,1,2010-02-10 17:27:52.258361-05
Test,Wiki,Sync Kit,2,342,24,2,12,1,1,2010-02-10 17:27:54.840138-05
Test,Wiki,Sync Kit,2,316,25,1,12,1,1,2010-02-10 17:27:57.427844-05
Test,Wiki,Sync Kit,3,317,20,1,11,1,1,2010-02-10 17:28:01.14215-05
Test,Wiki,Sync Kit,7,299,22,2,11,1,1,2010-02-10 17:28:09.655596-05
Test,Wiki,Sync Kit,10,238,22,1,11,1,1,2010-02-10 17:28:14.429901-05
Test,Wiki,Sync Kit,10,281,0,0,11,1,1,2010-02-10 17:28:16.811062-05
Test,Wiki,Sync Kit,8,284,0,0,11,1,1,2010-02-10 17:32:07.461383-05
Test,Wiki,Sync Kit,13,306,21,1,11,1,1,2010-02-10 17:28:20.383905-05
Test,Wiki,Sync Kit,13,276,0,0,10,1,1,2010-02-10 17:28:23.804259-05
Test,Wiki,Sync Kit,1,986,192,116,12,1,1,2010-02-10 17:28:33.200872-05
Test,Wiki,Sync Kit,4,346,22,3,11,1,1,2010-02-10 17:28:47.071825-05
Test,Wiki,Sync Kit,5,269,22,1,12,1,1,2010-02-10 17:28:48.17425-05
Test,Wiki,Sync Kit,5,422,31,1,11,1,1,2010-02-10 17:28:49.5691-05
Test,Wiki,Sync Kit,6,395,0,0,11,1,1,2010-02-10 17:28:52.156801-05
Test,Wiki,Sync Kit,6,348,21,2,11,1,1,2010-02-10 17:28:53.346225-05
Test,Wiki,Sync Kit,6,355,20,2,11,1,1,2010-02-10 17:28:54.689353-05
Test,Wiki,Sync Kit,6,347,30,2,12,1,1,2010-02-10 17:28:55.879465-05
Test,Wiki,Sync Kit,3,325,20,2,11,1,1,2010-02-10 17:27:59.899132-05
Test,Wiki,Sync Kit,4,325,22,1,11,1,1,2010-02-10 17:28:02.311891-05
Test,Wiki,Sync Kit,4,341,21,1,12,1,1,2010-02-10 17:28:03.588149-05
Test,Wiki,Sync Kit,4,304,21,2,11,1,1,2010-02-10 17:28:04.742589-05
Test,Wiki,Sync Kit,5,316,20,1,11,1,1,2010-02-10 17:28:06.022267-05
Test,Wiki,Sync Kit,5,348,29,1,12,1,1,2010-02-10 17:28:07.217492-05
Test,Wiki,Sync Kit,8,322,29,1,12,1,1,2010-02-10 17:28:10.930933-05
Test,Wiki,Sync Kit,9,340,30,2,11,1,1,2010-02-10 17:28:12.120575-05
Test,Wiki,Sync Kit,10,324,29,1,12,1,1,2010-02-10 17:28:15.682139-05
Test,Wiki,Sync Kit,14,316,21,2,11,1,1,2010-02-10 17:28:27.262232-05
Test,Wiki,Sync Kit,10,378,0,0,11,1,1,2010-02-10 17:29:04.79842-05
Test,Wiki,Sync Kit,16,266,22,1,11,1,1,2010-02-10 17:29:32.686199-05
Test,Wiki,Sync Kit,2,295,21,2,11,1,1,2010-02-10 17:29:40.616954-05
Test,Wiki,Sync Kit,10,280,21,2,11,1,1,2010-02-10 17:30:05.636381-05
Test,Wiki,Sync Kit,11,338,23,1,11,1,1,2010-02-10 17:30:08.083635-05
Test,Wiki,Sync Kit,2,317,22,2,11,1,1,2010-02-10 17:30:17.567886-05
Test,Wiki,Sync Kit,12,309,21,2,11,1,1,2010-02-10 17:28:19.130429-05
Test,Wiki,Sync Kit,13,291,27,1,11,1,1,2010-02-10 17:28:22.678565-05
Test,Wiki,Sync Kit,16,323,22,1,12,1,1,2010-02-10 17:28:30.928655-05
Test,Wiki,Sync Kit,4,349,26,1,10,1,1,2010-02-10 17:28:44.563425-05
