test,page,strategy,visitnumber,ttr,datafetch,databulkload,templateparse,latency,bandwidth,date
Test,Wiki,Flying Templates,2,237,20,0,10,1,1,2010-02-09 22:40:52.376853-05
Test,Wiki,Flying Templates,5,338,63,0,10,1,1,2010-02-09 22:41:00.251916-05
Test,Wiki,Flying Templates,4,390,23,0,10,1,1,2010-02-09 22:40:20.019097-05
Test,Wiki,Flying Templates,4,236,21,0,12,1,1,2010-02-09 22:40:21.086012-05
Test,Wiki,Flying Templates,5,250,23,0,11,1,1,2010-02-09 22:40:23.322115-05
Test,Wiki,Flying Templates,6,305,26,0,16,1,1,2010-02-09 22:40:24.470991-05
Test,Wiki,Flying Templates,7,253,23,0,11,1,1,2010-02-09 22:40:25.563925-05
Test,Wiki,Flying Templates,9,289,25,0,11,1,1,2010-02-09 22:40:27.764515-05
Test,Wiki,Flying Templates,15,238,20,0,10,1,1,2010-02-09 22:40:43.451002-05
Test,Wiki,Flying Templates,15,291,19,0,11,1,1,2010-02-09 22:40:44.57755-05
Test,Wiki,Flying Templates,1,307,26,0,11,1,1,2010-02-09 22:40:49.05728-05
Test,Wiki,Flying Templates,7,322,21,0,10,1,1,2010-02-09 22:41:09.219989-05
Test,Wiki,Flying Templates,3,312,22,0,10,1,1,2010-02-09 22:40:16.51918-05
Test,Wiki,Flying Templates,5,305,21,0,11,1,1,2010-02-09 22:40:22.229907-05
Test,Wiki,Flying Templates,9,328,20,0,11,1,1,2010-02-09 22:40:28.93679-05
Test,Wiki,Flying Templates,10,277,20,0,11,1,1,2010-02-09 22:40:30.048499-05
Test,Wiki,Flying Templates,10,302,22,0,10,1,1,2010-02-09 22:40:31.196207-05
Test,Wiki,Flying Templates,10,240,24,0,10,1,1,2010-02-09 22:40:32.273034-05
Test,Wiki,Flying Templates,11,301,21,0,10,1,1,2010-02-09 22:40:33.414037-05
Test,Wiki,Flying Templates,12,247,25,0,10,1,1,2010-02-09 22:40:34.496147-05
Test,Wiki,Flying Templates,13,301,24,0,10,1,1,2010-02-09 22:40:35.649412-05
Test,Wiki,Flying Templates,13,229,20,0,11,1,1,2010-02-09 22:40:38.979006-05
Test,Wiki,Flying Templates,13,360,20,0,10,1,1,2010-02-09 22:40:40.178883-05
Test,Wiki,Flying Templates,16,303,21,0,11,1,1,2010-02-09 22:40:45.71314-05
Test,Wiki,Flying Templates,1,247,21,0,10,1,1,2010-02-09 22:40:47.912389-05
Test,Wiki,Flying Templates,1,278,69,0,10,1,1,2010-02-09 22:40:50.182681-05
Test,Wiki,Flying Templates,4,289,21,0,10,1,1,2010-02-09 22:40:18.773355-05
Test,Wiki,Flying Templates,14,233,20,0,10,1,1,2010-02-09 22:40:41.245186-05
Test,Wiki,Flying Templates,3,292,20,0,11,1,1,2010-02-09 22:40:53.498945-05
Test,Wiki,Flying Templates,6,312,25,0,11,1,1,2010-02-09 22:41:04.681096-05
Test,Wiki,Flying Templates,6,248,21,0,10,1,1,2010-02-09 22:41:08.054533-05
Test,Wiki,Flying Templates,11,327,20,0,10,1,1,2010-02-09 22:41:15.93991-05
Test,Wiki,Flying Templates,11,346,20,0,10,1,1,2010-02-09 22:41:22.70606-05
Test,Wiki,Flying Templates,14,321,22,0,11,1,1,2010-02-09 22:41:32.940399-05
Test,Wiki,Flying Templates,3,252,21,0,11,1,1,2010-02-09 22:41:48.593715-05
Test,Wiki,Flying Templates,3,305,23,0,10,1,1,2010-02-09 22:41:49.745586-05
Test,Wiki,Flying Templates,8,262,21,0,10,1,1,2010-02-09 22:42:04.246068-05
Test,Wiki,Flying Templates,8,321,23,0,10,1,1,2010-02-09 22:42:05.413366-05
Test,Wiki,Flying Templates,8,261,21,0,10,1,1,2010-02-09 22:42:06.500761-05
Test,Wiki,Flying Templates,9,317,20,0,10,1,1,2010-02-09 22:42:07.654914-05
Test,Wiki,Flying Templates,1,3150,78,0,20,1,1,2010-02-09 22:40:07.425236-05
Test,Wiki,Flying Templates,2,381,48,0,11,1,1,2010-02-09 22:40:10.147701-05
Test,Wiki,Flying Templates,2,386,47,0,12,1,1,2010-02-09 22:40:11.451828-05
Test,Wiki,Flying Templates,2,410,48,0,11,1,1,2010-02-09 22:40:12.690665-05
Test,Wiki,Flying Templates,2,383,48,0,11,1,1,2010-02-09 22:40:13.990483-05
Test,Wiki,Flying Templates,2,371,48,0,10,1,1,2010-02-09 22:40:15.290149-05
Test,Wiki,Flying Templates,13,244,20,0,11,1,1,2010-02-09 22:40:36.728537-05
Test,Wiki,Flying Templates,1,289,20,0,10,1,1,2010-02-09 22:40:51.31097-05
Test,Wiki,Flying Templates,3,241,21,0,10,1,1,2010-02-09 22:40:54.578244-05
Test,Wiki,Flying Templates,4,377,22,0,10,1,1,2010-02-09 22:40:55.800651-05
Test,Wiki,Flying Templates,4,246,25,0,10,1,1,2010-02-09 22:40:56.881448-05
Test,Wiki,Flying Templates,4,292,20,0,10,1,1,2010-02-09 22:40:58.020986-05
Test,Wiki,Flying Templates,1,464,160,0,13,1,1,2010-02-09 22:40:08.788739-05
Test,Wiki,Flying Templates,3,289,22,0,11,1,1,2010-02-09 22:40:17.641985-05
Test,Wiki,Flying Templates,8,240,19,0,11,1,1,2010-02-09 22:40:26.636045-05
Test,Wiki,Flying Templates,13,354,25,0,11,1,1,2010-02-09 22:40:37.92893-05
Test,Wiki,Flying Templates,14,297,19,0,10,1,1,2010-02-09 22:40:42.388481-05
Test,Wiki,Flying Templates,1,299,20,0,10,1,1,2010-02-09 22:40:46.843357-05
Test,Wiki,Flying Templates,4,230,20,0,11,1,1,2010-02-09 22:40:59.077668-05
Test,Wiki,Flying Templates,7,298,74,0,11,1,1,2010-02-09 22:41:10.34053-05
Test,Wiki,Flying Templates,11,311,24,0,10,1,1,2010-02-09 22:41:18.187919-05
Test,Wiki,Flying Templates,11,249,21,0,10,1,1,2010-02-09 22:41:19.263363-05
Test,Wiki,Flying Templates,11,364,75,0,10,1,1,2010-02-09 22:41:20.46093-05
Test,Wiki,Flying Templates,11,246,21,0,10,1,1,2010-02-09 22:41:21.529809-05
Test,Wiki,Flying Templates,11,321,24,0,11,1,1,2010-02-09 22:41:24.954257-05
Test,Wiki,Flying Templates,12,308,20,0,10,1,1,2010-02-09 22:41:29.45064-05
Test,Wiki,Flying Templates,13,306,20,0,10,1,1,2010-02-09 22:41:31.804161-05
Test,Wiki,Flying Templates,5,231,21,0,10,1,1,2010-02-09 22:41:01.312353-05
Test,Wiki,Flying Templates,6,297,20,0,10,1,1,2010-02-09 22:41:02.441793-05
Test,Wiki,Flying Templates,6,251,21,0,10,1,1,2010-02-09 22:41:03.520972-05
Test,Wiki,Flying Templates,6,271,20,0,10,1,1,2010-02-09 22:41:05.786865-05
Test,Wiki,Flying Templates,6,351,20,0,10,1,1,2010-02-09 22:41:06.974647-05
Test,Wiki,Flying Templates,11,260,24,0,11,1,1,2010-02-09 22:41:17.034455-05
Test,Wiki,Flying Templates,11,271,21,0,11,1,1,2010-02-09 22:41:23.797414-05
Test,Wiki,Flying Templates,13,331,21,0,10,1,1,2010-02-09 22:42:16.690704-05
Test,Wiki,Flying Templates,2,339,75,0,10,1,1,2010-02-09 22:42:21.1969-05
Test,Wiki,Flying Templates,6,261,22,0,11,1,1,2010-02-09 22:42:26.699339-05
Test,Wiki,Flying Templates,6,290,21,0,10,1,1,2010-02-09 22:42:27.819258-05
Test,Wiki,Flying Templates,15,284,22,0,10,1,1,2010-02-09 22:42:43.329011-05
Test,Wiki,Flying Templates,15,222,26,0,10,1,1,2010-02-09 22:42:44.377144-05
