test,page,strategy,visitnumber,ttr,datafetch,databulkload,templateparse,latency,bandwidth,date
Test,Wiki,Flying Templates,2,321,22,0,10,1,1,2010-02-05 14:17:19.549534-05
Test,Wiki,Flying Templates,2,229,22,0,10,1,1,2010-02-05 14:17:20.827896-05
Test,Wiki,Flying Templates,5,273,22,0,10,1,1,2010-02-05 14:17:31.825592-05
Test,Wiki,Flying Templates,5,234,22,0,10,1,1,2010-02-05 14:17:33.193306-05
Test,Wiki,Flying Templates,6,289,22,0,10,1,1,2010-02-05 14:17:34.325169-05
Test,Wiki,Flying Templates,7,238,24,0,11,1,1,2010-02-05 14:17:35.69471-05
Test,Wiki,Flying Templates,9,223,22,0,10,1,1,2010-02-05 14:17:38.168642-05
Test,Wiki,Flying Templates,13,223,23,0,10,1,1,2010-02-05 14:17:50.535298-05
Test,Wiki,Flying Templates,13,359,21,0,10,1,1,2010-02-05 14:17:51.744088-05
Test,Wiki,Flying Templates,14,281,22,0,9,1,1,2010-02-05 14:17:54.132173-05
Test,Wiki,Flying Templates,15,242,25,0,10,1,1,2010-02-05 14:17:55.514106-05
Test,Wiki,Flying Templates,15,273,23,0,11,1,1,2010-02-05 14:17:56.634377-05
Test,Wiki,Flying Templates,16,239,23,0,11,1,1,2010-02-05 14:17:58.012787-05
Test,Wiki,Flying Templates,1,309,23,0,11,1,1,2010-02-05 14:17:59.16823-05
Test,Wiki,Flying Templates,1,236,22,0,11,1,1,2010-02-05 14:18:00.499899-05
Test,Wiki,Flying Templates,1,236,21,0,10,1,1,2010-02-05 14:18:02.964591-05
Test,Wiki,Flying Templates,2,245,24,0,10,1,1,2010-02-05 14:18:05.474771-05
Test,Wiki,Flying Templates,3,264,22,0,10,1,1,2010-02-05 14:18:06.598666-05
Test,Wiki,Flying Templates,3,246,22,0,9,1,1,2010-02-05 14:18:07.965249-05
Test,Wiki,Flying Templates,4,274,22,0,10,1,1,2010-02-05 14:18:09.075196-05
Test,Wiki,Flying Templates,4,245,23,0,10,1,1,2010-02-05 14:18:10.465883-05
Test,Wiki,Flying Templates,5,298,22,0,10,1,1,2010-02-05 14:18:14.064535-05
Test,Wiki,Flying Templates,5,239,22,0,11,1,1,2010-02-05 14:18:15.419994-05
Test,Wiki,Flying Templates,1,249,22,0,10,1,1,2010-02-05 14:17:18.382299-05
Test,Wiki,Flying Templates,2,277,21,0,10,1,1,2010-02-05 14:17:21.958443-05
Test,Wiki,Flying Templates,1,281,24,0,10,1,1,2010-02-05 14:18:04.078674-05
Test,Wiki,Flying Templates,8,283,23,0,10,1,1,2010-02-05 14:18:26.619458-05
Test,Wiki,Flying Templates,10,252,24,0,10,1,1,2010-02-05 14:18:30.397658-05
Test,Wiki,Flying Templates,2,287,21,0,10,1,1,2010-02-05 14:17:24.425635-05
Test,Wiki,Flying Templates,3,243,21,0,10,1,1,2010-02-05 14:17:25.781233-05
Test,Wiki,Flying Templates,3,280,22,0,10,1,1,2010-02-05 14:17:26.914329-05
Test,Wiki,Flying Templates,4,226,21,0,11,1,1,2010-02-05 14:17:28.225288-05
Test,Wiki,Flying Templates,4,272,21,0,10,1,1,2010-02-05 14:17:29.335447-05
Test,Wiki,Flying Templates,8,279,23,0,10,1,1,2010-02-05 14:17:36.825914-05
Test,Wiki,Flying Templates,1,215,18,0,10,1,1,2010-02-05 14:17:17.288373-05
