test,page,strategy,visitnumber,ttr,datafetch,databulkload,templateparse,latency,bandwidth,date
Test,Wiki,Sync Kit,12,322,0,0,11,1,1,2010-02-07 11:49:59.190765-05
Test,Wiki,Sync Kit,17,288,0,0,11,1,1,2010-02-07 11:50:18.954887-05
Test,Wiki,Sync Kit,4,288,46,1,12,1,1,2010-02-07 11:46:50.3017-05
Test,Wiki,Sync Kit,5,361,47,1,12,1,1,2010-02-07 11:47:34.106095-05
Test,Wiki,Sync Kit,16,356,0,0,11,1,1,2010-02-07 12:11:09.718024-05
Test,Wiki,Sync Kit,4,304,46,2,12,1,1,2010-02-07 11:46:47.814336-05
Test,Wiki,Sync Kit,4,380,46,2,11,1,1,2010-02-07 11:46:49.174012-05
Test,Wiki,Sync Kit,1,3941,75,99,21,1,1,2010-02-07 11:46:36.315693-05
Test,Wiki,Sync Kit,7,348,46,2,12,1,1,2010-02-07 11:46:55.186187-05
Test,Wiki,Sync Kit,8,355,44,2,11,1,1,2010-02-07 11:46:56.475773-05
Test,Wiki,Sync Kit,10,329,45,2,12,1,1,2010-02-07 11:47:00.110195-05
Test,Wiki,Sync Kit,11,364,45,1,11,1,1,2010-02-07 11:47:03.774118-05
Test,Wiki,Sync Kit,13,303,0,0,11,1,1,2010-02-07 11:47:07.537968-05
Test,Wiki,Sync Kit,14,342,44,1,11,1,1,2010-02-07 11:47:13.605331-05
Test,Wiki,Sync Kit,1,307,47,2,11,1,1,2010-02-07 11:46:37.506-05
Test,Wiki,Sync Kit,2,387,46,2,11,1,1,2010-02-07 11:46:38.814822-05
Test,Wiki,Sync Kit,2,332,45,1,11,1,1,2010-02-07 11:46:40.079232-05
Test,Wiki,Sync Kit,2,360,45,2,11,1,1,2010-02-07 11:46:42.68359-05
Test,Wiki,Sync Kit,2,367,45,2,11,1,1,2010-02-07 11:46:43.978045-05
Test,Wiki,Sync Kit,3,377,45,1,11,1,1,2010-02-07 11:46:45.277135-05
Test,Wiki,Sync Kit,3,362,45,1,11,1,1,2010-02-07 11:46:46.566009-05
Test,Wiki,Sync Kit,5,333,46,2,11,1,1,2010-02-07 11:46:51.574082-05
Test,Wiki,Sync Kit,2,344,45,1,11,1,1,2010-02-07 11:46:41.378665-05
Test,Wiki,Sync Kit,5,285,45,2,11,1,1,2010-02-07 11:46:52.699675-05
Test,Wiki,Sync Kit,9,337,0,0,11,1,1,2010-02-07 11:46:58.894856-05
Test,Wiki,Sync Kit,10,400,45,1,12,1,1,2010-02-07 11:47:01.452965-05
Test,Wiki,Sync Kit,12,373,45,1,12,1,1,2010-02-07 11:47:05.01099-05
Test,Wiki,Sync Kit,13,365,45,2,12,1,1,2010-02-07 11:47:08.77802-05
Test,Wiki,Sync Kit,13,330,0,0,11,1,1,2010-02-07 11:47:09.97136-05
Test,Wiki,Sync Kit,15,354,45,2,11,1,1,2010-02-07 11:47:14.818413-05
Test,Wiki,Sync Kit,1,339,46,2,12,1,1,2010-02-07 11:47:20.485327-05
Test,Wiki,Sync Kit,1,405,47,2,11,1,1,2010-02-07 11:47:24.197259-05
Test,Wiki,Sync Kit,2,333,45,2,11,1,1,2010-02-07 11:47:25.42663-05
Test,Wiki,Sync Kit,3,351,46,1,11,1,1,2010-02-07 11:47:27.916802-05
Test,Wiki,Sync Kit,6,346,46,2,12,1,1,2010-02-07 11:46:53.989942-05
Test,Wiki,Sync Kit,13,367,46,1,12,1,1,2010-02-07 11:47:06.388274-05
Test,Wiki,Sync Kit,1,346,45,2,11,1,1,2010-02-07 11:47:22.951031-05
Test,Wiki,Sync Kit,4,310,45,2,11,1,1,2010-02-07 11:47:31.56063-05
Test,Wiki,Sync Kit,6,367,46,2,12,1,1,2010-02-07 11:47:41.627214-05
Test,Wiki,Sync Kit,8,379,46,2,11,1,1,2010-02-07 11:47:46.715066-05
Test,Wiki,Sync Kit,8,379,45,1,12,1,1,2010-02-07 11:47:48.069648-05
Test,Wiki,Sync Kit,9,373,46,2,12,1,1,2010-02-07 11:47:49.281747-05
Test,Wiki,Sync Kit,11,358,46,2,11,1,1,2010-02-07 11:47:56.869173-05
Test,Wiki,Sync Kit,11,361,47,2,12,1,1,2010-02-07 11:47:58.159208-05
Test,Wiki,Sync Kit,11,313,47,2,12,1,1,2010-02-07 11:47:59.315225-05
Test,Wiki,Sync Kit,11,320,0,0,11,1,1,2010-02-07 11:48:00.596171-05
Test,Wiki,Sync Kit,12,298,45,2,12,1,1,2010-02-07 11:48:04.07007-05
Test,Wiki,Sync Kit,12,233,0,0,11,1,1,2010-02-07 11:48:06.485321-05
Test,Wiki,Sync Kit,12,339,51,2,11,1,1,2010-02-07 11:48:07.696326-05
Test,Wiki,Sync Kit,14,391,45,2,12,1,1,2010-02-07 11:48:10.226645-05
Test,Wiki,Sync Kit,9,283,45,2,12,1,1,2010-02-07 11:46:57.599538-05
Test,Wiki,Sync Kit,10,243,0,0,11,1,1,2010-02-07 11:47:02.528348-05
Test,Wiki,Sync Kit,13,372,45,2,11,1,1,2010-02-07 11:47:11.219139-05
Test,Wiki,Sync Kit,14,311,0,0,11,1,1,2010-02-07 11:47:12.381931-05
Test,Wiki,Sync Kit,16,367,45,2,11,1,1,2010-02-07 11:47:17.352149-05
Test,Wiki,Sync Kit,3,349,47,2,12,1,1,2010-02-07 11:47:26.624037-05
Test,Wiki,Sync Kit,4,367,45,2,11,1,1,2010-02-07 11:47:30.404573-05
Test,Wiki,Sync Kit,14,303,0,0,11,1,1,2010-02-07 11:48:11.373323-05
Test,Wiki,Sync Kit,14,347,45,2,11,1,1,2010-02-07 11:48:12.600273-05
Test,Wiki,Sync Kit,1,359,46,2,11,1,1,2010-02-07 11:48:21.819938-05
Test,Wiki,Sync Kit,2,298,47,2,12,1,1,2010-02-07 11:48:25.477613-05
Test,Wiki,Sync Kit,3,372,46,2,12,1,1,2010-02-07 11:48:28.020363-05
Test,Wiki,Sync Kit,5,381,46,2,11,1,1,2010-02-07 11:48:34.419245-05
Test,Wiki,Sync Kit,6,288,47,1,12,1,1,2010-02-07 11:48:35.543024-05
Test,Wiki,Sync Kit,9,347,46,1,12,1,1,2010-02-07 11:48:51.294032-05
Test,Wiki,Sync Kit,4,336,47,1,12,1,1,2010-02-07 11:49:06.89389-05
Test,Wiki,Sync Kit,9,359,47,2,11,1,1,2010-02-07 11:49:18.135967-05
Test,Wiki,Sync Kit,15,397,46,2,12,1,1,2010-02-07 11:47:16.141781-05
Test,Wiki,Sync Kit,1,764,151,101,21,1,1,2010-02-07 11:47:19.277187-05
Test,Wiki,Sync Kit,1,311,50,1,11,1,1,2010-02-07 11:47:21.670807-05
Test,Wiki,Sync Kit,4,392,46,1,12,1,1,2010-02-07 11:47:32.895334-05
Test,Wiki,Sync Kit,10,320,0,0,12,1,1,2010-02-07 11:47:50.576202-05
Test,Wiki,Sync Kit,11,257,0,0,11,1,1,2010-02-07 11:48:01.729981-05
Test,Wiki,Sync Kit,13,353,46,2,11,1,1,2010-02-07 11:48:08.923977-05
Test,Wiki,Sync Kit,2,355,45,1,12,1,1,2010-02-07 11:48:24.340779-05
Test,Wiki,Sync Kit,3,362,0,0,11,1,1,2010-02-07 11:48:29.35921-05
Test,Wiki,Sync Kit,3,320,47,2,12,1,1,2010-02-07 11:48:30.554683-05
Test,Wiki,Sync Kit,3,392,46,2,12,1,1,2010-02-07 11:48:31.897457-05
Test,Wiki,Sync Kit,4,358,46,2,11,1,1,2010-02-07 11:48:33.097236-05
Test,Wiki,Sync Kit,6,353,47,2,12,1,1,2010-02-07 11:48:38.086904-05
Test,Wiki,Sync Kit,14,347,48,2,12,1,1,2010-02-07 11:49:00.052877-05
Test,Wiki,Sync Kit,2,338,45,2,11,1,1,2010-02-07 11:49:03.05779-05
Test,Wiki,Sync Kit,7,361,46,2,11,1,1,2010-02-07 11:49:15.624394-05
Test,Wiki,Sync Kit,16,355,46,2,11,1,1,2010-02-07 11:50:12.849769-05
Test,Wiki,Sync Kit,4,306,45,2,11,1,1,2010-02-07 11:47:29.072027-05
Test,Wiki,Sync Kit,6,361,46,2,12,1,1,2010-02-07 11:47:36.63025-05
Test,Wiki,Sync Kit,6,364,46,2,12,1,1,2010-02-07 11:47:40.416456-05
Test,Wiki,Sync Kit,11,406,48,2,12,1,1,2010-02-07 11:47:55.661122-05
Test,Wiki,Sync Kit,11,310,0,0,11,1,1,2010-02-07 11:48:02.907156-05
Test,Wiki,Sync Kit,12,342,0,0,11,1,1,2010-02-07 11:48:05.384826-05
Test,Wiki,Sync Kit,1,818,159,138,22,1,1,2010-02-07 11:48:20.582065-05
Test,Wiki,Sync Kit,2,317,45,2,13,1,1,2010-02-07 11:48:22.994756-05
Test,Wiki,Sync Kit,2,378,45,1,11,1,1,2010-02-07 11:48:26.796294-05
Test,Wiki,Sync Kit,8,305,0,0,11,1,1,2010-02-07 11:48:44.24481-05
Test,Wiki,Sync Kit,10,373,46,2,11,1,1,2010-02-07 11:48:52.528069-05
Test,Wiki,Sync Kit,13,288,47,1,12,1,1,2010-02-07 11:48:57.572801-05
Test,Wiki,Sync Kit,13,336,47,2,11,1,1,2010-02-07 11:48:58.850344-05
Test,Wiki,Sync Kit,2,458,48,2,12,1,1,2010-02-07 11:49:04.428873-05
Test,Wiki,Sync Kit,5,347,46,2,11,1,1,2010-02-07 11:49:08.158234-05
Test,Wiki,Sync Kit,5,332,47,1,12,1,1,2010-02-07 11:49:09.336686-05
Test,Wiki,Sync Kit,6,357,46,1,11,1,1,2010-02-07 11:49:10.603391-05
Test,Wiki,Sync Kit,5,356,46,2,11,1,1,2010-02-07 11:47:35.417062-05
Test,Wiki,Sync Kit,6,308,0,0,10,1,1,2010-02-07 11:47:37.86595-05
Test,Wiki,Sync Kit,6,303,47,1,12,1,1,2010-02-07 11:47:39.039979-05
Test,Wiki,Sync Kit,6,358,46,2,11,1,1,2010-02-07 11:47:42.926352-05
Test,Wiki,Sync Kit,7,420,47,2,12,1,1,2010-02-07 11:47:44.195176-05
Test,Wiki,Sync Kit,7,321,0,0,11,1,1,2010-02-07 11:47:45.454073-05
Test,Wiki,Sync Kit,11,350,45,2,11,1,1,2010-02-07 11:47:51.813092-05
Test,Wiki,Sync Kit,11,343,0,0,11,1,1,2010-02-07 11:47:53.131271-05
Test,Wiki,Sync Kit,11,281,46,2,11,1,1,2010-02-07 11:47:54.280584-05
Test,Wiki,Sync Kit,15,294,0,0,11,1,1,2010-02-07 11:48:15.06125-05
Test,Wiki,Sync Kit,16,240,0,0,12,1,1,2010-02-07 11:48:16.173067-05
Test,Wiki,Sync Kit,16,359,45,2,12,1,1,2010-02-07 11:48:17.410745-05
Test,Wiki,Sync Kit,16,344,47,2,12,1,1,2010-02-07 11:48:18.623849-05
Test,Wiki,Sync Kit,6,358,47,2,11,1,1,2010-02-07 11:48:39.418846-05
Test,Wiki,Sync Kit,7,358,46,2,11,1,1,2010-02-07 11:48:41.90616-05
Test,Wiki,Sync Kit,8,301,0,0,11,1,1,2010-02-07 11:48:43.057276-05
Test,Wiki,Sync Kit,8,262,0,0,11,1,1,2010-02-07 11:48:45.368709-05
Test,Wiki,Sync Kit,8,280,0,0,11,1,1,2010-02-07 11:48:46.522401-05
Test,Wiki,Sync Kit,8,256,0,0,11,1,1,2010-02-07 11:48:47.645348-05
Test,Wiki,Sync Kit,14,384,47,2,12,1,1,2010-02-07 11:48:13.850277-05
Test,Wiki,Sync Kit,6,392,46,2,11,1,1,2010-02-07 11:48:36.885037-05
Test,Wiki,Sync Kit,6,349,46,2,11,1,1,2010-02-07 11:48:40.618781-05
Test,Wiki,Sync Kit,11,361,48,1,12,1,1,2010-02-07 11:49:24.402831-05
Test,Wiki,Sync Kit,9,311,48,2,12,1,1,2010-02-07 11:51:20.563957-05
Test,Wiki,Sync Kit,17,368,46,2,11,1,1,2010-02-07 11:51:41.692359-05
Test,Wiki,Sync Kit,3,376,49,2,11,1,1,2010-02-07 11:51:49.630398-05
Test,Wiki,Sync Kit,5,348,47,1,12,1,1,2010-02-07 11:51:54.51949-05
Test,Wiki,Sync Kit,6,282,47,1,11,1,1,2010-02-07 11:52:00.489549-05
Test,Wiki,Sync Kit,7,428,49,1,12,1,1,2010-02-07 11:52:01.843468-05
Test,Wiki,Sync Kit,8,308,65,3,15,1,1,2010-02-07 11:52:02.997428-05
Test,Wiki,Sync Kit,9,328,48,2,11,1,1,2010-02-07 11:52:04.289787-05
Test,Wiki,Sync Kit,9,390,49,2,11,1,1,2010-02-07 11:52:05.535491-05
Test,Wiki,Sync Kit,10,344,46,2,11,1,1,2010-02-07 11:52:06.810027-05
Test,Wiki,Sync Kit,16,307,49,1,12,1,1,2010-02-07 11:52:25.355778-05
Test,Wiki,Sync Kit,16,286,0,0,10,1,1,2010-02-07 11:52:26.590951-05
Test,Wiki,Sync Kit,9,367,48,2,11,1,1,2010-02-07 11:48:48.886511-05
Test,Wiki,Sync Kit,9,308,0,0,11,1,1,2010-02-07 11:48:50.067402-05
Test,Wiki,Sync Kit,10,410,47,2,12,1,1,2010-02-07 11:48:53.895748-05
Test,Wiki,Sync Kit,11,373,46,2,12,1,1,2010-02-07 11:48:55.105782-05
Test,Wiki,Sync Kit,12,399,45,2,11,1,1,2010-02-07 11:48:56.447634-05
Test,Wiki,Sync Kit,1,576,46,73,11,1,1,2010-02-07 11:49:01.752079-05
Test,Wiki,Sync Kit,3,345,46,2,11,1,1,2010-02-07 11:49:05.714995-05
Test,Wiki,Sync Kit,15,340,48,2,12,1,1,2010-02-07 11:49:29.424533-05
