file,rate,total_requests,concurrent_connections,request_rate,reply_rate_avg,reply_rate_stdev,reply_samples,total_size,200_statuses,net_io
test_freq_4_per_update_tokyo.txt,520,3974,1020,73.9,76.8,68.3,10,71985.0,3911,5199.0 KB/s
test_freq_4_per_update_tokyo.txt,279,6660,1020,68.7,70.1,73.0,19,73128.0,6621,4914.8 KB/s
test_freq_4_per_update_tokyo.txt,159,10946,531,126.1,128.7,68.7,17,73501.0,10946,9067.9 KB/s
test_freq_4_per_update_tokyo.txt,99,10946,13,108.3,108.2,9.3,20,73501.0,10946,7788.3 KB/s
test_freq_4_per_update_tokyo.txt,129,10946,29,141.2,141.2,7.8,15,73501.0,10946,10154.6 KB/s
test_freq_4_per_update_tokyo.txt,144,10946,59,157.2,157.5,6.0,13,73501.0,10946,11304.9 KB/s
test_freq_4_per_update_tokyo.txt,151,10946,274,126.5,128.8,63.5,17,73501.0,10946,9101.6 KB/s
test_freq_4_per_update_tokyo.txt,147,10946,77,160.2,160.3,9.0,13,73501.0,10946,11521.4 KB/s
test_freq_4_per_update_tokyo.txt,149,10946,200,153.4,156.3,17.5,14,73501.0,10946,11031.6 KB/s
test_freq_0.08_per_update_synckit.txt3,520,5642,1020,99.3,102.4,108.6,11,38363.0,5524,3739.5 KB/s
test_freq_0.08_per_update_synckit.txt3,279,8680,1020,102.3,108.4,101.0,16,38933.0,8676,3909.5 KB/s
test_freq_0.08_per_update_synckit.txt3,159,11620,28,184.6,186.0,8.7,12,39164.0,11620,7099.6 KB/s
test_freq_0.08_per_update_synckit.txt3,219,11620,317,209.6,211.2,86.1,11,39164.0,11620,8059.8 KB/s
test_freq_0.08_per_update_synckit.txt3,189,11620,54,218.9,219.9,9.4,10,39164.0,11620,8417.1 KB/s
test_freq_0.08_per_update_synckit.txt3,204,11620,87,236.3,237.3,8.8,9,39164.0,11620,9087.7 KB/s
test_freq_0.08_per_update_synckit.txt3,211,11620,284,225.8,231.5,27.2,10,39164.0,11620,8684.7 KB/s
test_freq_0.08_per_update_synckit.txt3,215,11620,403,207.1,211.2,79.9,11,39164.0,11620,7963.4 KB/s
test_freq_0.08_per_update_synckit.txt3,213,11620,231,228.4,232.3,37.1,10,39164.0,11620,8785.3 KB/s
test_freq_0.08_per_update_synckit.txt1,520,5091,1020,76.4,78.3,94.5,13,36750.0,5036,2759.2 KB/s
test_freq_0.08_per_update_synckit.txt1,279,8293,1020,60.7,61.4,90.9,27,35541.0,8020,2118.9 KB/s
test_freq_0.08_per_update_synckit.txt1,159,11350,31,180.4,179.9,6.0,12,36916.0,11350,6544.6 KB/s
test_freq_0.08_per_update_synckit.txt1,219,11350,220,220.1,226.9,52.3,10,36916.0,11350,7983.7 KB/s
test_freq_0.08_per_update_synckit.txt1,249,11350,1002,178.8,188.7,109.5,12,36916.0,11350,6486.6 KB/s
test_freq_0.08_per_update_synckit.txt1,234,11350,523,171.0,174.6,114.6,13,36916.0,11350,6203.5 KB/s
test_freq_0.08_per_update_synckit.txt1,226,11350,427,175.7,189.1,103.0,12,36916.0,11350,6370.8 KB/s
test_freq_0.08_per_update_synckit.txt1,222,11350,339,200.7,206.3,83.9,11,36916.0,11350,7280.3 KB/s
test_freq_0.08_per_update_synckit.txt1,220,11350,263,221.0,226.8,53.0,10,36916.0,11350,8013.8 KB/s
test_freq_0.08_per_update_synckit.txt2,520,5554,1020,90.0,92.5,104.9,12,36534.0,5486,3229.8 KB/s
test_freq_0.08_per_update_synckit.txt2,279,9197,1020,111.5,115.0,106.5,16,36707.0,9189,4020.7 KB/s
test_freq_0.08_per_update_synckit.txt2,159,11344,31,180.3,181.4,5.2,12,36746.0,11344,6510.6 KB/s
test_freq_0.08_per_update_synckit.txt2,219,11344,235,229.8,243.8,4.9,9,36746.0,11344,8298.2 KB/s
test_freq_0.08_per_update_synckit.txt2,249,10586,1020,165.7,176.1,96.7,12,36723.0,10586,5976.7 KB/s
