file,strategy,frequency,highest_rate,attempted_rate,avg_data
test_freq_4_per_update_tokyo.txt,Flying Templates,4,158.800000,152,73392.000000
test_freq_1_per_update_tokyo.txt,Flying Templates,1,163.900000,156,67849.000000
test_freq_0.33_per_update_synckit.txt,Sync Kit,0.33,336.100000,340,17918.000000
test_freq_4_per_update_synckit.txt,Sync Kit,4,458.100000,445,9678.000000
test_freq_0.5_per_update_synckit.txt,Sync Kit,0.5,413.000000,383,13682.000000
test_freq_0.5_per_update_traditional.txt,Traditional,0.5,118.500000,120,174317.000000
test_freq_0.08_per_update_tokyo.txt,Flying Templates,0.08,184.400000,165,58397.000000
test_freq_3_per_update_traditional.txt,Traditional,3,116.400000,118,176896.000000
test_freq_0.16_per_update_synckit.txt,Sync Kit,0.16,295.100000,268,26536.000000
test_freq_0.08_per_update_traditional.txt,Traditional,0.08,131.400000,133,161004.000000
test_freq_0.16_per_update_traditional.txt,Traditional,0.16,130.900000,133,160147.000000
test_freq_2_per_update_traditional.txt,Traditional,2,119.700000,122,174230.000000
test_freq_0.42_per_update_tokyo.txt,Flying Templates,0.42,164.900000,158,68936.000000
test_freq_3_per_update_synckit.txt,Sync Kit,3,463.000000,446,8419.000000
test_freq_0.16_per_update_tokyo.txt,Flying Templates,0.16,181.600000,165,57741.000000
test_freq_0.25_per_update_tokyo.txt,Flying Templates,0.25,173.700000,167,59606.000000
test_freq_0.33_per_update_traditional.txt,Traditional,0.33,123.900000,126,165780.000000
test_freq_0.08_per_update_synckit.txt,Sync Kit,0.08,232.200000,223,36745.000000
test_freq_2_per_update_synckit.txt,Sync Kit,2,461.400000,428,8684.000000
test_freq_0.25_per_update_synckit.txt,Sync Kit,0.25,329.800000,308,20397.000000
test_freq_1_per_update_traditional.txt,Traditional,1,119.500000,122,170973.000000
test_freq_0.5_per_update_tokyo.txt,Flying Templates,0.5,164.100000,156,70846.000000
test_freq_0.42_per_update_synckit.txt,Sync Kit,0.42,401.200000,370,14483.000000
test_freq_4_per_update_traditional.txt,Traditional,4,115.400000,118,177368.000000
test_freq_2_per_update_tokyo.txt,Flying Templates,2,160.800000,154,70884.000000
test_freq_1_per_update_synckit.txt,Sync Kit,1,431.300000,411,10894.000000
test_freq_0.33_per_update_tokyo.txt,Flying Templates,0.33,178.900000,163,62785.000000
test_freq_3_per_update_tokyo.txt,Flying Templates,3,156.300000,154,73329.000000
test_freq_0.42_per_update_traditional.txt,Traditional,0.42,118.100000,120,172254.000000
test_freq_0.25_per_update_traditional.txt,Traditional,0.25,124.800000,126,162078.000000
