file,rate,total_requests,concurrent_connections,request_rate,reply_rate_avg,reply_rate_stdev,reply_samples,total_size,200_statuses,net_io
test_freq_4_per_update_tokyo.txt,520,4288,1020,79.3,84.0,76.3,10,63127.0,3784,4889.9 KB/s
test_freq_4_per_update_tokyo.txt,279,5983,1020,74.2,74.4,63.0,16,67833.0,5653,4927.6 KB/s
test_freq_4_per_update_tokyo.txt,159,10946,525,128.6,128.7,68.1,17,69087.0,10473,8699.0 KB/s
test_freq_4_per_update_tokyo.txt,99,10946,15,108.3,108.2,9.3,20,69087.0,10473,7326.8 KB/s
test_freq_4_per_update_tokyo.txt,69,10946,5,75.5,75.6,8.5,28,71355.0,10716,5274.3 KB/s
test_freq_4_per_update_tokyo.txt,54,10946,4,59.1,59.0,7.8,37,73503.0,10946,4252.0 KB/s
test_freq_4_per_update_tokyo.txt,61,10946,4,66.8,66.7,8.1,32,73503.0,10946,4803.0 KB/s
test_freq_4_per_update_tokyo.txt,65,10946,5,71.1,71.1,8.8,30,73503.0,10946,5117.8 KB/s
test_freq_4_per_update_tokyo.txt,67,10946,5,73.3,73.3,6.3,29,73503.0,10946,5275.3 KB/s
test_freq_1_per_update_tokyo.txt,520,4199,1020,66.7,69.4,70.9,12,64582.0,3987,4186.4 KB/s
test_freq_1_per_update_tokyo.txt,279,6591,1020,83.4,87.7,68.6,15,66978.0,6569,5461.1 KB/s
test_freq_1_per_update_tokyo.txt,159,11132,428,136.6,139.1,66.1,16,67380.0,11132,9008.6 KB/s
test_freq_1_per_update_tokyo.txt,99,11132,14,110.2,110.0,11.4,20,67380.0,11132,7267.1 KB/s
test_freq_1_per_update_tokyo.txt,129,11132,33,143.6,143.6,8.7,15,67380.0,11132,9468.7 KB/s
test_freq_1_per_update_tokyo.txt,144,11132,44,159.9,160.4,7.6,13,67380.0,11132,10547.2 KB/s
test_freq_1_per_update_tokyo.txt,151,11132,78,167.2,167.1,5.6,13,67380.0,11132,11027.5 KB/s
test_freq_1_per_update_tokyo.txt,155,11132,190,165.2,169.6,7.2,13,67380.0,11132,10894.3 KB/s
test_freq_1_per_update_tokyo.txt,157,11132,183,160.0,170.8,10.8,13,67380.0,11132,10551.6 KB/s
