file,highest_rate,attempted_rate,avg_data
test_freq_12_per_day_traditional.txt,134.300000,137,159987.000000
test_freq_2_per_day_tokyo.txt,215.300000,190,62343.000000
test_freq_1_per_day_tokyo.txt,234.500000,199,57859.000000
test_freq_0.5_per_day_tokyo.txt,254.500000,203,56102.000000
test_freq_2_per_day_traditional.txt,143.900000,146,153152.000000
test_freq_4_per_day_traditional.txt,137.000000,139,158060.000000
test_freq_6_per_day_tokyo.txt,210.900000,180,66413.000000
test_freq_24_per_day_synckit.txt,531.600000,517,13711.000000
test_freq_0.05_per_day_traditional.txt,143.900000,146,154014.000000
test_freq_0.25_per_day_traditional.txt,150.800000,152,147697.000000
test_freq_4_per_day_synckit.txt,409.700000,377,22631.000000
test_freq_1_per_day_synckit.txt,331.800000,278,38966.000000
test_freq_18_per_day_synckit.txt,538.500000,497,15363.000000
test_freq_0.5_per_day_synckit.txt,304.200000,244,46144.000000
test_freq_18_per_day_tokyo.txt,206.400000,178,68912.000000
test_freq_12_per_day_tokyo.txt,213.200000,182,66694.000000
test_freq_4_per_day_tokyo.txt,214.400000,180,65500.000000
test_freq_12_per_day_synckit.txt,516.400000,461,18193.000000
test_freq_6_per_day_traditional.txt,136.200000,139,158688.000000
test_freq_0.5_per_day_traditional.txt,149.200000,152,147847.000000
test_freq_18_per_day_traditional.txt,132.500000,135,161743.000000
test_freq_1_per_day_traditional.txt,149.400000,152,148738.000000
test_freq_2_per_day_synckit.txt,384.800000,338,27665.000000
test_freq_0.25_per_day_synckit.txt,298.000000,212,51781.000000
test_freq_24_per_day_traditional.txt,129.300000,131,162905.000000
test_freq_6_per_day_synckit.txt,495.900000,428,19212.000000
test_freq_0.05_per_day_synckit.txt,275.900000,236,55825.000000
test_freq_24_per_day_tokyo.txt,201.900000,176,70360.000000
test_freq_0.25_per_day_tokyo.txt,276.100000,206,54737.000000
test_freq_0.05_per_day_tokyo.txt,275.500000,236,56721.000000
