file,rate,total_requests,concurrent_connections,request_rate,reply_rate_avg,reply_rate_stdev,reply_samples,total_size,200_statuses,net_io
test_freq_12_per_day_traditional.txt,520,3724,1020,79.5,80.6,71.5,9,129488.0,3033,10067.9 KB/s
test_freq_12_per_day_traditional.txt,279,5481,1020,83.8,84.3,50.7,13,160024.0,5481,13107.2 KB/s
test_freq_12_per_day_traditional.txt,159,9205,1020,105.6,108.1,44.1,17,159286.0,9164,16439.7 KB/s
test_freq_12_per_day_traditional.txt,99,10000,25,98.9,98.9,0.4,20,159987.0,10000,15466.5 KB/s
test_freq_12_per_day_traditional.txt,129,10000,64,129.0,128.8,4.3,15,159987.0,10000,20167.6 KB/s
test_freq_12_per_day_traditional.txt,144,10000,659,107.1,111.0,48.3,18,159922.0,9996,16746.8 KB/s
test_freq_12_per_day_traditional.txt,136,10000,134,134.3,134.2,2.0,14,159987.0,10000,21004.0 KB/s
test_freq_12_per_day_traditional.txt,140,10000,359,105.4,111.1,50.1,18,159987.0,10000,16481.4 KB/s
test_freq_12_per_day_traditional.txt,138,10000,223,119.9,125.0,33.3,16,159987.0,10000,18757.5 KB/s
test_freq_2_per_day_tokyo.txt,520,5259,1020,113.4,115.0,104.6,9,58393.0,4926,6467.9 KB/s
test_freq_2_per_day_tokyo.txt,279,8582,1020,143.4,154.9,86.2,11,62096.0,8554,8718.6 KB/s
test_freq_2_per_day_tokyo.txt,159,11482,77,182.3,181.8,8.9,12,62343.0,11482,11128.0 KB/s
test_freq_2_per_day_tokyo.txt,219,10858,1020,156.1,166.3,82.6,13,62392.0,10858,9531.7 KB/s
test_freq_2_per_day_tokyo.txt,189,11482,87,215.3,215.3,5.0,10,62343.0,11482,13138.4 KB/s
test_freq_2_per_day_tokyo.txt,204,11482,883,157.2,163.8,87.1,14,62343.0,11482,9596.5 KB/s
test_freq_2_per_day_tokyo.txt,196,11482,460,153.4,164.0,88.8,14,62343.0,11482,9364.2 KB/s
test_freq_2_per_day_tokyo.txt,192,11482,329,177.5,191.2,60.6,12,62343.0,11482,10835.5 KB/s
test_freq_2_per_day_tokyo.txt,190,11482,225,151.8,153.1,95.9,15,62343.0,11482,9265.9 KB/s
